id,name,category,purchase_date,value,depreciation_rate,status,created_at
1,Painting Asset,Furniture,2017-03-09,77756.54,15.0,Disposed,2018-03-24T05:19:31
2,Whole Asset,Office Equipment,2018-09-25,15710.34,15.0,Retired,2025-06-28T01:19:07
3,Deal Asset,Office Equipment,2021-02-20,36413.29,20.0,Active,2016-01-22T11:44:11
4,Remember Asset,Tools,2017-12-29,72210.85,30.0,Active,2025-04-17T20:18:56
5,Event Asset,Tools,2022-04-09,67015.31,10.0,Retired,2020-01-11T19:06:50
6,Either Asset,Vehicles,2019-02-02,25697.27,15.0,Retired,2018-03-02T23:16:55
7,Identify Asset,IT Equipment,2022-01-02,31368.54,25.0,Disposed,2016-05-11T05:24:31
8,Form Asset,Tools,2025-09-06,16119.62,20.0,Disposed,2025-02-07T22:09:09
9,Later Asset,Office Equipment,2016-03-07,1442.58,15.0,Disposed,2025-09-01T16:45:17
10,Resource Asset,IT Equipment,2019-06-05,60316.99,5.0,Active,2016-11-11T21:53:01
11,Question Asset,Furniture,2020-01-15,2253.47,30.0,Active,2022-08-10T21:30:17
12,Pick Asset,Furniture,2022-01-19,69899.76,30.0,Retired,2025-09-28T14:08:48
13,So Asset,Office Equipment,2017-08-13,79013.23,20.0,Retired,2022-03-26T09:08:37
14,Sort Asset,IT Equipment,2025-10-06,59340.11,5.0,Retired,2020-07-06T11:19:35
15,Letter Asset,Vehicles,2025-10-06,65143.02,10.0,Active,2016-02-18T03:19:47
16,Need Asset,Furniture,2016-05-13,65263.07,15.0,Active,2025-09-30T05:48:57
17,After Asset,Office Equipment,2019-05-04,24504.99,20.0,Disposed,2022-06-26T23:48:30
18,Yard Asset,IT Equipment,2022-10-20,9565.09,10.0,Retired,2022-02-05T13:05:12
19,Lot Asset,IT Equipment,2019-10-01,39240.85,25.0,Retired,2017-09-12T01:19:40
20,Yeah Asset,Tools,2024-09-05,57174.74,10.0,Retired,2025-10-30T15:48:16
21,Half Asset,Tools,2020-06-08,72914.95,10.0,Disposed,2017-09-28T04:26:37
22,Today Asset,Furniture,2016-12-03,57540.99,15.0,Retired,2020-04-11T16:24:27
23,Management Asset,Tools,2016-09-01,9015.50,30.0,Disposed,2022-01-29T06:34:39
24,Into Asset,Furniture,2023-04-10,71988.61,15.0,Disposed,2019-09-25T17:11:52
25,Moment Asset,IT Equipment,2017-04-17,22702.24,15.0,Retired,2021-04-20T23:15:27
26,Federal Asset,IT Equipment,2018-02-15,68540.98,10.0,Active,2017-08-08T06:31:38
27,Campaign Asset,Vehicles,2024-08-05,9922.67,15.0,Disposed,2016-08-10T13:12:41
28,Position Asset,Tools,2023-03-21,79928.23,30.0,Disposed,2019-05-09T05:06:38
29,Teacher Asset,IT Equipment,2025-07-18,61032.76,10.0,Retired,2021-06-18T08:48:35
30,Ask Asset,Office Equipment,2018-09-13,10302.83,30.0,Retired,2020-07-06T03:40:34
31,Foreign Asset,Tools,2024-06-01,45165.41,15.0,Disposed,2025-09-16T04:42:15
32,All Asset,Furniture,2017-02-23,25665.00,15.0,Disposed,2020-03-16T12:54:20
33,Record Asset,Tools,2021-04-14,12092.13,20.0,Active,2019-06-27T22:21:22
34,Already Asset,Furniture,2025-09-28,56178.97,5.0,Retired,2017-12-04T18:28:46
35,Decision Asset,IT Equipment,2017-11-29,34915.90,25.0,Active,2018-03-28T06:34:55
36,Next Asset,Tools,2018-11-14,55608.10,10.0,Retired,2025-01-13T17:44:39
37,Open Asset,IT Equipment,2025-01-13,41930.29,15.0,Active,2017-07-21T23:35:23
38,Those Asset,Office Equipment,2021-11-01,42029.41,5.0,Active,2020-03-19T14:44:34
39,Pick Asset,Furniture,2023-07-15,1638.18,20.0,Active,2024-09-11T04:10:38
40,Outside Asset,Tools,2019-01-29,56604.64,20.0,Active,2016-12-14T08:43:10
41,Newspaper Asset,Office Equipment,2024-03-13,2518.70,10.0,Disposed,2017-08-09T21:12:54
42,Vote Asset,Vehicles,2020-01-17,75506.72,10.0,Disposed,2023-08-29T05:54:59
43,Want Asset,IT Equipment,2016-09-23,2522.32,25.0,Active,2018-12-07T10:39:35
44,Mrs Asset,Furniture,2018-10-07,17525.77,25.0,Retired,2020-03-17T17:39:19
45,Chance Asset,Vehicles,2019-02-18,44677.81,25.0,Active,2017-07-29T04:54:12
46,Create Asset,Office Equipment,2019-06-10,39542.39,10.0,Disposed,2024-04-06T22:15:52
47,Couple Asset,Furniture,2019-11-24,54227.04,10.0,Active,2023-04-23T10:39:35
48,Site Asset,Tools,2018-01-20,13470.44,20.0,Active,2018-12-28T01:05:02
49,Deal Asset,Office Equipment,2016-12-21,36226.77,10.0,Disposed,2022-03-12T08:03:33
50,Politics Asset,IT Equipment,2021-10-10,76287.32,15.0,Active,2016-06-23T01:10:50
51,Everyone Asset,Furniture,2019-05-05,18186.96,20.0,Disposed,2016-12-22T18:04:09
52,Goal Asset,Furniture,2016-03-25,52452.96,5.0,Active,2020-04-08T06:58:28
53,Concern Asset,Furniture,2018-06-27,9360.66,25.0,Retired,2017-02-28T04:22:20
54,Set Asset,Vehicles,2019-08-18,49121.66,20.0,Disposed,2025-03-25T09:49:31
55,Enjoy Asset,Vehicles,2018-04-24,12829.96,25.0,Disposed,2024-12-07T03:13:14
56,Push Asset,Vehicles,2021-12-05,77465.89,20.0,Disposed,2016-05-18T21:59:02
57,If Asset,IT Equipment,2016-02-09,46926.79,20.0,Active,2016-03-05T17:30:27
58,Back Asset,Furniture,2019-10-25,43850.74,10.0,Active,2024-11-28T03:02:20
59,Anything Asset,IT Equipment,2020-05-05,55391.28,5.0,Disposed,2017-03-08T17:49:26
60,Region Asset,Office Equipment,2021-08-11,30345.18,15.0,Active,2023-02-01T01:15:27
61,Reason Asset,Office Equipment,2016-05-24,44281.79,20.0,Disposed,2016-04-29T14:39:35
62,Government Asset,Tools,2022-02-12,75289.40,20.0,Retired,2023-02-24T10:26:06
63,Tell Asset,Tools,2020-05-31,11939.74,25.0,Retired,2021-04-20T15:32:47
64,Later Asset,Office Equipment,2017-01-25,72419.11,25.0,Disposed,2021-12-31T08:14:25
65,Table Asset,Vehicles,2018-01-01,73235.15,30.0,Active,2021-02-17T01:22:20
66,Price Asset,IT Equipment,2025-09-25,79856.42,30.0,Active,2023-11-04T10:37:12
67,Church Asset,Tools,2022-04-19,1502.28,30.0,Active,2021-04-01T13:40:37
68,Hold Asset,IT Equipment,2021-08-04,26164.71,20.0,Active,2021-06-08T11:26:05
69,Those Asset,Vehicles,2023-06-04,75242.23,5.0,Disposed,2020-01-02T22:59:59
70,Tell Asset,Vehicles,2022-11-27,56172.17,5.0,Disposed,2017-05-17T13:20:30
71,Game Asset,Furniture,2020-01-20,56234.22,10.0,Disposed,2018-06-16T10:31:55
72,Range Asset,Furniture,2020-04-24,47189.57,20.0,Active,2024-09-16T21:32:36
73,Dream Asset,IT Equipment,2017-09-21,77797.99,5.0,Disposed,2023-06-03T01:34:32
74,Eye Asset,Tools,2021-07-16,65970.19,5.0,Retired,2024-04-30T20:01:20
75,Long Asset,Tools,2023-07-06,66416.37,20.0,Active,2020-03-17T16:27:26
76,Sense Asset,IT Equipment,2019-01-01,15167.29,20.0,Active,2023-03-22T10:03:23
77,Network Asset,Tools,2021-06-19,43967.78,30.0,Retired,2023-06-27T16:40:08
78,Degree Asset,Furniture,2020-12-13,62910.72,5.0,Active,2024-08-25T09:23:04
79,No Asset,Office Equipment,2023-11-15,43515.04,25.0,Retired,2015-11-27T09:51:54
80,Ability Asset,Furniture,2016-10-13,8687.87,20.0,Retired,2016-02-07T23:22:04
81,Shake Asset,Vehicles,2023-09-02,51549.38,30.0,Active,2020-11-08T20:02:27
82,Physical Asset,IT Equipment,2021-04-13,13289.17,20.0,Retired,2025-04-05T17:42:51
83,Again Asset,Tools,2024-08-23,42062.62,10.0,Active,2024-11-25T10:13:30
84,Month Asset,Furniture,2024-04-09,57607.54,10.0,Disposed,2021-12-13T20:23:38
85,Believe Asset,Tools,2023-02-12,60691.31,20.0,Retired,2017-09-01T08:27:34
86,Listen Asset,Vehicles,2018-08-26,46076.45,25.0,Active,2019-09-08T23:59:18
87,Behavior Asset,Vehicles,2022-11-07,36551.73,15.0,Active,2018-12-24T22:50:05
88,Measure Asset,Vehicles,2019-07-26,43633.34,10.0,Disposed,2017-11-12T05:11:57
89,Worry Asset,Tools,2022-03-09,73967.93,5.0,Disposed,2016-02-11T22:16:57
90,Region Asset,Furniture,2023-02-24,27620.67,20.0,Retired,2020-03-22T18:20:10
91,Also Asset,Vehicles,2021-03-22,60159.41,15.0,Active,2016-08-28T13:01:08
92,Writer Asset,Tools,2023-06-29,14034.02,30.0,Active,2023-10-11T11:55:42
93,Experience Asset,Office Equipment,2024-04-28,39536.87,30.0,Disposed,2022-06-09T20:36:51
94,Go Asset,Vehicles,2021-06-03,1815.09,25.0,Active,2017-06-04T19:02:45
95,Wide Asset,Office Equipment,2024-02-27,46078.37,5.0,Retired,2021-04-21T13:39:55
96,Radio Asset,Office Equipment,2015-12-01,76853.51,25.0,Active,2022-02-10T08:10:19
97,Business Asset,Office Equipment,2016-03-27,7963.06,25.0,Active,2021-10-28T14:45:52
98,Special Asset,Vehicles,2023-11-24,28235.91,20.0,Active,2017-11-12T11:56:18
99,Course Asset,IT Equipment,2025-09-26,37939.20,30.0,Active,2019-10-27T22:55:15
100,Apply Asset,Tools,2023-04-06,1525.76,15.0,Disposed,2021-02-12T03:28:40
101,Wife Asset,Furniture,2018-03-16,17897.37,15.0,Disposed,2019-12-22T01:51:52
102,Green Asset,Vehicles,2016-05-09,37442.92,10.0,Active,2020-02-21T13:03:43
103,Method Asset,Tools,2021-06-14,45650.38,15.0,Disposed,2018-12-03T20:57:12
104,Field Asset,IT Equipment,2023-05-09,49214.54,30.0,Active,2015-12-11T07:18:32
105,Discover Asset,Office Equipment,2020-08-04,63604.36,5.0,Retired,2021-02-28T13:35:14
106,Until Asset,Office Equipment,2022-09-06,52999.11,25.0,Disposed,2023-03-19T09:34:52
107,Fear Asset,Furniture,2019-10-31,10644.76,5.0,Retired,2021-06-22T18:30:33
108,Media Asset,Tools,2024-12-08,75675.40,20.0,Active,2023-10-19T11:19:44
109,Present Asset,Furniture,2024-03-11,79706.44,10.0,Disposed,2020-05-01T17:35:42
110,Religious Asset,Tools,2015-12-21,47734.48,5.0,Retired,2024-10-19T14:24:28
111,About Asset,Vehicles,2023-08-13,19945.30,25.0,Disposed,2025-01-17T18:22:51
112,Husband Asset,Vehicles,2023-07-13,78597.59,5.0,Active,2020-07-08T19:18:14
113,Company Asset,Tools,2019-01-31,50644.70,5.0,Retired,2023-07-09T18:57:18
114,Line Asset,Furniture,2022-02-10,29501.44,5.0,Retired,2018-05-27T05:30:48
115,Development Asset,IT Equipment,2018-12-21,37073.49,20.0,Retired,2018-08-13T05:44:30
116,Admit Asset,Vehicles,2023-07-01,19463.92,15.0,Active,2025-06-03T05:22:09
117,Believe Asset,Furniture,2020-07-01,31470.00,20.0,Retired,2021-05-18T01:30:36
118,College Asset,Furniture,2015-12-11,49757.31,30.0,Disposed,2017-09-02T10:08:26
119,Positive Asset,Office Equipment,2024-05-06,50628.81,15.0,Disposed,2024-02-10T20:13:33
120,Together Asset,IT Equipment,2016-08-19,17426.01,15.0,Active,2016-01-04T10:11:02
121,Edge Asset,Office Equipment,2016-08-09,30659.74,30.0,Active,2017-09-05T00:48:18
122,Story Asset,IT Equipment,2024-04-25,25693.86,10.0,Retired,2023-01-01T13:02:57
123,Name Asset,Furniture,2016-03-24,27978.21,25.0,Retired,2023-08-20T22:33:45
124,Quickly Asset,IT Equipment,2018-09-20,19750.26,20.0,Retired,2020-05-08T23:46:40
125,Conference Asset,Tools,2024-11-07,27476.01,25.0,Disposed,2016-05-08T10:31:44
126,Too Asset,Vehicles,2019-03-12,66351.97,30.0,Disposed,2024-12-24T21:15:45
127,Class Asset,Furniture,2017-01-13,72033.64,10.0,Active,2025-07-12T00:16:25
128,West Asset,Tools,2024-07-14,50005.70,5.0,Disposed,2020-10-08T08:54:22
129,Part Asset,Office Equipment,2025-02-01,79040.70,30.0,Retired,2020-08-26T06:44:49
130,Require Asset,Furniture,2020-06-21,72047.76,10.0,Disposed,2022-09-03T01:12:36
131,Color Asset,Office Equipment,2024-03-01,17523.22,10.0,Disposed,2016-08-18T05:56:45
132,Top Asset,Tools,2017-08-26,61882.26,5.0,Active,2025-08-31T14:56:20
133,Store Asset,Vehicles,2018-04-21,33144.05,5.0,Retired,2023-05-27T03:00:40
134,Teach Asset,IT Equipment,2019-05-21,48576.64,20.0,Disposed,2023-02-12T08:27:09
135,Thus Asset,Furniture,2016-07-28,51648.69,5.0,Retired,2023-12-16T18:23:24
136,Question Asset,IT Equipment,2025-09-25,49120.18,20.0,Disposed,2020-04-04T12:15:35
137,Between Asset,IT Equipment,2025-04-30,74938.07,30.0,Active,2024-02-19T16:56:59
138,Politics Asset,Tools,2016-02-07,37282.61,30.0,Active,2016-06-30T08:09:18
139,Senior Asset,Furniture,2021-05-01,70446.48,30.0,Disposed,2022-05-24T11:02:51
140,Expect Asset,Tools,2018-12-06,76995.26,15.0,Disposed,2023-02-20T19:11:58
141,When Asset,IT Equipment,2019-03-03,4429.73,15.0,Retired,2021-08-11T19:44:50
142,Talk Asset,Furniture,2019-03-14,61175.32,10.0,Retired,2023-05-03T00:48:52
143,Course Asset,Vehicles,2017-12-27,77697.24,15.0,Active,2023-06-19T22:22:04
144,Could Asset,IT Equipment,2019-04-18,74916.35,30.0,Retired,2021-05-02T17:44:38
145,Loss Asset,Tools,2025-06-10,72148.70,10.0,Disposed,2021-08-11T03:32:32
146,Peace Asset,Furniture,2018-09-26,9524.49,20.0,Disposed,2016-10-15T08:16:26
147,Look Asset,IT Equipment,2020-03-16,15411.24,15.0,Retired,2022-08-15T05:21:41
148,First Asset,Office Equipment,2016-03-10,44592.45,20.0,Retired,2021-11-11T13:48:12
149,Responsibility Asset,IT Equipment,2025-05-02,21128.85,10.0,Retired,2021-10-24T01:59:35
150,Forward Asset,Office Equipment,2023-06-02,74580.11,25.0,Active,2018-02-26T06:57:33
151,Somebody Asset,Furniture,2017-09-12,6719.60,20.0,Retired,2017-10-30T23:08:30
152,Attorney Asset,Tools,2015-12-20,75373.10,25.0,Disposed,2019-08-27T04:27:56
153,Personal Asset,Furniture,2018-04-26,55189.06,5.0,Active,2025-07-25T04:07:47
154,Risk Asset,Vehicles,2017-01-29,29525.90,25.0,Disposed,2023-01-09T14:33:17
155,Space Asset,Vehicles,2024-06-12,44656.16,20.0,Active,2019-02-24T05:15:41
