id,employee_id,date,status,note,created_at
1,1876,2024-10-24,Absent,Rest many alone listen key stock begin admit economic.,2024-01-27T04:27:55
2,894,2024-05-04,Leave,Economic all clearly almost something second.,2024-03-01T17:47:48
3,1062,2025-02-25,Absent,Marriage door mention stock.,2024-09-21T05:31:57
4,1727,2023-12-16,Present,Agency call author trouble yeah.,2024-08-26T04:10:39
5,82,2025-01-26,Present,Environmental sport worker my tough.,2025-06-18T04:18:34
6,577,2025-03-06,Leave,Majority black large war interview weight.,2025-04-23T05:34:11
7,625,2024-09-03,Present,Plant particularly old poor off authority success western wife.,2025-02-23T08:42:54
8,168,2025-06-02,Absent,Understand property country training last draw.,2024-10-28T21:46:14
9,470,2025-07-22,Present,Visit report work sense fact threat subject join home size analysis.,2024-05-06T17:01:18
10,1145,2024-06-19,Present,Practice everything involve discuss my actually public per.,2025-07-12T02:41:14
11,1524,2024-07-11,Present,Draw response trouble level administration defense tell.,2025-07-19T19:48:07
12,744,2024-09-18,Present,Hospital make bar know religious.,2024-05-20T22:06:54
13,1163,2025-09-24,Absent,Billion little else order difficult born cost others seek.,2025-10-04T18:26:10
14,527,2024-12-11,Present,Yeah perhaps career organization science doctor.,2023-12-31T18:26:55
15,1868,2023-12-07,Leave,Type say interesting guy list amount shoulder real realize information.,2024-10-29T17:21:42
16,1919,2025-07-22,Absent,Chance family information do treatment base Democrat receive leave support.,2025-07-01T22:30:34
17,1039,2025-07-19,Leave,Product control community carry doctor let next whole kind until.,2024-08-13T09:41:20
18,791,2025-01-06,Present,Meeting happen interest anything heart commercial.,2024-10-28T13:29:20
19,887,2024-10-01,Absent,Try become white child air check gun significant protect author.,2024-02-02T05:52:10
20,299,2025-06-02,Present,Read moment though follow economic.,2024-10-01T02:59:19
21,129,2024-04-20,Absent,You weight us gun indeed than sea interesting him.,2025-08-23T07:50:01
22,41,2023-11-27,Present,Similar fight eat agreement happen away cultural high she.,2025-01-15T18:09:38
23,1665,2024-02-05,Absent,College business consider coach food along happy culture six.,2025-06-05T23:34:46
24,519,2025-08-27,Absent,Anyone according same own action.,2024-03-27T18:48:12
25,1612,2025-09-30,Leave,Position history resource give north.,2025-10-22T15:21:32
26,800,2025-04-24,Absent,Attention animal model offer which build guy ahead.,2024-06-25T08:20:14
27,670,2025-01-17,Present,Draw fight detail happen customer.,2025-03-31T17:11:12
28,1991,2025-05-21,Present,Look quite public structure concern east term door accept news.,2024-04-05T00:55:44
29,1447,2025-10-24,Absent,Back interest five century win fall black PM generation.,2024-04-15T01:38:05
30,1892,2024-10-29,Leave,Offer cold relationship over certain artist.,2024-05-28T15:19:40
31,321,2025-01-05,Leave,Thank sign key anyone.,2023-11-09T16:15:35
32,172,2024-08-12,Leave,Lose economy move tell goal at realize somebody wear happy.,2025-08-06T13:48:53
