id,date,description,inflow,outflow,balance,created_at
1,2023-09-12,Different analysis option.,5340.92,11579.03,-6238.11,2022-08-10T01:35:50
2,2022-10-21,Really lot administration have.,11219.96,800.82,10419.14,2021-07-23T02:12:19
3,2020-12-08,Involve quite daughter body form enter street.,3063.38,36988.98,-33925.60,2022-04-04T20:46:58
4,2025-05-18,You poor range.,17509.71,38163.64,-20653.93,2023-09-24T05:41:02
5,2023-01-02,Poor professional behind voice especially.,2943.62,11740.69,-8797.07,2022-12-28T07:57:13
6,2022-02-15,Result program plant new any become.,10048.91,3984.10,6064.81,2022-11-12T00:21:04
7,2024-12-03,Generation police picture service.,34103.87,33868.90,234.97,2025-08-06T22:45:52
8,2021-07-17,Industry rich light all resource.,23242.41,5906.38,17336.03,2023-06-06T01:03:37
9,2024-06-29,Exactly allow board.,38820.55,23.91,38796.64,2024-08-07T07:37:07
10,2025-01-15,Place consumer teacher how dinner seven.,5524.96,6229.98,-705.02,2024-02-13T20:04:56
11,2021-11-27,Pressure help keep eye level picture suddenly.,22394.03,39715.28,-17321.25,2023-09-02T14:12:25
12,2021-09-01,Fear add later like smile local serve.,36749.10,18748.53,18000.57,2021-06-29T05:23:55
13,2025-03-07,Sure tree head interest debate.,21953.93,8519.63,13434.30,2024-12-29T04:06:34
14,2023-03-18,According set clearly minute religious program medical it.,47874.25,370.82,47503.43,2025-10-29T08:18:40
15,2024-03-20,Book design every age likely back value.,43667.30,30443.03,13224.27,2023-05-22T16:53:00
16,2025-07-01,Its road year poor life environmental.,8922.39,27852.03,-18929.64,2022-12-01T14:25:32
17,2021-02-08,Bar hear blood war through.,7864.21,28828.00,-20963.79,2023-04-16T05:38:31
18,2025-06-05,Until strategy may throw newspaper plant.,45838.71,27502.17,18336.54,2021-11-25T13:20:56
19,2021-11-16,Kind job describe.,10532.96,21910.32,-11377.36,2021-05-18T06:31:24
20,2024-02-07,Worker situation rule tonight.,5034.59,36337.89,-31303.30,2023-05-31T18:27:48
21,2023-06-14,Risk exist hold them many speak.,20360.11,15905.57,4454.54,2021-09-03T05:55:30
22,2024-01-24,Think audience account blue night provide economic.,46646.13,6718.00,39928.13,2024-06-13T19:49:28
23,2024-07-02,Far level determine together ok president address.,44191.36,1385.82,42805.54,2021-07-05T17:38:49
24,2022-04-20,Compare sense send particularly.,36912.13,12480.43,24431.70,2025-09-27T07:15:30
25,2025-04-14,Product dog give.,47537.75,15850.67,31687.08,2021-07-25T03:40:49
26,2024-01-11,Statement defense play.,49200.95,9285.38,39915.57,2022-09-20T20:25:52
27,2024-04-28,Never deep role environmental say.,3337.27,20411.00,-17073.73,2023-04-27T15:06:27
28,2025-10-22,Oil director common most deal.,49780.57,10908.37,38872.20,2022-04-02T13:05:17
29,2024-08-25,Collection part short nation.,24124.61,13418.54,10706.07,2024-06-12T20:27:16
30,2021-11-10,Truth against save learn institution.,2708.95,11310.39,-8601.44,2023-07-17T10:02:05
31,2025-02-21,Seek certain expert outside task affect shoulder.,40344.94,39553.17,791.77,2023-07-05T23:22:44
32,2021-06-07,Politics center if among city.,25618.64,39243.31,-13624.67,2025-06-08T21:16:21
33,2023-08-10,During tonight ten over if feeling laugh.,2240.16,8166.58,-5926.42,2025-09-08T05:11:44
34,2023-05-29,Increase then mission ahead.,31017.72,15631.24,15386.48,2024-03-09T14:47:41
35,2025-06-29,Not population series throw real service seem.,45402.37,12810.90,32591.47,2023-09-26T22:13:31
36,2023-08-13,Note southern where listen.,39776.96,14036.85,25740.11,2021-11-19T09:14:33
37,2021-11-16,Civil structure degree than century simply.,33156.18,7391.33,25764.85,2022-04-27T18:44:46
38,2025-09-11,Candidate exactly across probably training.,45514.32,9502.33,36011.99,2022-08-11T13:52:08
39,2024-08-28,Attention goal serve mention fund election.,1475.59,24953.31,-23477.72,2022-07-02T16:42:50
40,2023-06-10,Success land wall wall.,49534.88,9057.40,40477.48,2022-05-21T05:21:46
41,2025-02-09,However admit only simple.,43256.87,6189.16,37067.71,2023-10-13T18:59:48
42,2022-06-19,Investment analysis head discussion box recent page business.,38540.09,2216.91,36323.18,2023-01-23T18:19:08
43,2021-10-30,Range soon very nature sort.,40697.05,17278.39,23418.66,2022-06-25T13:31:53
44,2025-07-19,Allow sense tree your.,21952.63,16237.80,5714.83,2023-08-10T12:38:01
45,2024-07-02,Drug behavior and evening.,16148.58,26239.37,-10090.79,2023-11-15T06:45:36
46,2022-04-24,Yet hair job difference.,16216.09,29435.34,-13219.25,2021-02-13T05:08:21
47,2024-10-22,Kid science total radio question stock.,8938.00,6270.89,2667.11,2024-11-04T09:06:08
48,2025-05-28,Use talk pay daughter decision computer.,48581.74,4556.77,44024.97,2021-12-22T05:31:09
49,2024-02-26,Man pass too television.,43121.75,39113.47,4008.28,2023-08-06T05:24:29
50,2023-11-15,Each lawyer tough other.,13877.05,13397.60,479.45,2024-07-29T18:59:30
51,2024-03-25,General address strategy sister political election next.,35063.76,37801.90,-2738.14,2021-08-05T05:24:01
52,2025-10-29,Movie according common spring.,25028.95,17373.44,7655.51,2020-11-06T00:27:23
53,2023-12-17,Consumer test with summer reality.,3663.93,22005.99,-18342.06,2023-11-23T03:25:23
54,2021-08-27,That executive safe perform wonder control.,601.33,22160.82,-21559.49,2022-10-24T09:03:13
55,2023-01-27,By majority long child pass.,3389.10,39039.91,-35650.81,2023-08-25T18:17:22
56,2023-12-24,Save mind environmental pull hold week.,25964.69,38142.85,-12178.16,2020-11-15T22:57:01
57,2022-08-25,Result article economy forward remember.,22654.20,7471.64,15182.56,2022-07-17T17:35:12
58,2022-10-08,Land know part represent put customer.,11178.90,31030.66,-19851.76,2025-10-27T11:20:51
59,2023-04-02,Follow Congress sit science manage chair save ago.,22179.09,22316.89,-137.80,2023-09-30T11:48:31
60,2024-12-10,Discussion oil adult director.,46768.65,26140.72,20627.93,2023-03-09T04:17:24
61,2021-02-05,Avoid blue artist baby.,19242.48,14275.92,4966.56,2023-06-04T23:15:07
62,2024-02-22,Cultural fight law picture.,41607.94,5335.32,36272.62,2021-09-10T14:37:22
63,2023-12-23,Image and someone.,5510.68,4765.70,744.98,2023-03-10T08:45:07
64,2021-09-18,Finally experience scientist nor goal check.,22023.37,39716.13,-17692.76,2023-09-28T23:40:36
65,2021-06-23,Teach will treatment.,17389.03,14615.86,2773.17,2021-09-27T15:51:58
66,2020-12-26,Charge finish exactly be.,24886.30,14566.80,10319.50,2024-05-15T21:20:55
67,2021-04-25,Rate produce hand particularly.,47847.00,24915.78,22931.22,2024-09-28T11:26:13
68,2024-04-16,Anything amount situation decide ability.,18674.08,22485.17,-3811.09,2021-01-21T14:52:31
69,2025-10-25,List available agency give wife girl.,26580.13,35579.35,-8999.22,2020-11-17T17:59:49
70,2024-07-23,Interview per help less agreement writer pick daughter.,13346.83,3704.39,9642.44,2024-05-29T22:38:34
71,2023-04-21,Election old smile occur.,38622.01,13746.91,24875.10,2022-06-18T17:32:48
72,2025-07-20,Hair answer task final only.,33681.51,23301.56,10379.95,2023-11-19T20:38:16
73,2022-04-15,Ten will example let such.,42543.28,27946.35,14596.93,2023-05-01T06:57:02
74,2021-04-29,Building wait teach stay whom.,29466.33,26232.02,3234.31,2022-07-05T16:27:53
75,2024-05-06,Can news within my agree fund age deep.,46638.88,12718.55,33920.33,2023-07-24T08:41:59
76,2020-12-05,Then together off clear else newspaper couple.,19857.31,6018.76,13838.55,2023-07-18T15:21:30
77,2024-09-11,Huge goal word fast.,19958.40,12545.66,7412.74,2022-11-23T14:41:23
78,2023-01-07,Respond the report seat.,1247.78,15315.03,-14067.25,2022-08-02T10:28:59
79,2023-06-09,Reveal upon last professor may.,9354.31,26620.48,-17266.17,2023-06-01T15:05:59
80,2025-08-03,Green whose direction vote star item such.,3145.43,3495.70,-350.27,2022-02-11T12:10:50
81,2023-09-26,Position hand find success top occur why put.,40016.92,38059.04,1957.88,2020-12-02T16:04:20
82,2022-06-25,Hotel none bed beat discover process.,43627.78,17869.44,25758.34,2024-12-08T23:23:31
83,2024-07-20,Everybody various century former spring development stop.,47606.08,3022.25,44583.83,2023-11-11T02:46:36
84,2024-09-26,Energy suffer easy reflect water miss how.,29251.51,18984.88,10266.63,2025-04-08T15:29:42
85,2025-09-13,Back artist realize else.,26049.09,23518.46,2530.63,2022-12-08T02:15:16
86,2023-08-14,Voice human from kind share throughout tree.,10893.98,33404.44,-22510.46,2021-06-25T13:25:04
87,2024-04-24,For trial particular.,8632.91,32104.61,-23471.70,2023-10-04T02:29:02
88,2024-12-29,Go area someone officer happy speak actually responsibility.,13355.91,34732.08,-21376.17,2023-09-03T13:43:37
89,2025-05-15,Decision behavior best concern stuff responsibility.,40361.74,13369.23,26992.51,2025-09-05T15:27:58
90,2022-02-01,Sure letter full number.,32318.29,26761.52,5556.77,2025-08-06T02:42:07
91,2021-10-16,Nice pretty mother.,31220.62,19700.52,11520.10,2024-09-29T13:27:43
92,2025-03-08,Still level those get choose that recent past.,34385.89,4479.94,29905.95,2022-12-07T17:55:45
93,2024-11-19,I by help wish human.,46895.87,16675.07,30220.80,2023-07-17T09:58:49
94,2023-04-17,Value entire how actually must market.,4458.98,11089.27,-6630.29,2025-03-24T12:41:59
95,2022-09-01,Go cost use including environment improve beyond.,18835.35,12793.74,6041.61,2025-10-14T16:47:07
96,2021-09-22,Main majority whom.,46925.42,32181.29,14744.13,2024-01-04T14:25:43
97,2023-09-13,Campaign couple ok course bit live ball.,21576.53,13415.45,8161.08,2024-05-13T20:37:41
98,2024-02-06,Three why whole than answer ahead.,7558.42,5645.50,1912.92,2020-11-27T17:12:33
99,2024-02-27,Weight right thousand change safe whom community.,42342.64,31634.61,10708.03,2021-04-25T12:14:21
100,2023-07-26,Here account loss foreign we national claim.,45147.38,30951.22,14196.16,2024-05-12T03:07:15
101,2025-07-15,Camera car above term no.,1956.31,27060.32,-25104.01,2025-03-17T21:17:18
102,2025-03-18,Agent low important possible.,4739.02,39582.56,-34843.54,2024-02-11T04:59:30
103,2022-09-19,Fact end paper out.,5360.56,21121.02,-15760.46,2025-05-03T07:07:50
104,2023-03-14,Crime follow someone drug cause.,5407.02,23314.35,-17907.33,2020-11-10T13:56:34
105,2023-05-20,Significant mind indeed huge blood.,22136.43,24616.94,-2480.51,2023-01-12T03:11:42
106,2023-03-27,Owner vote son fill policy.,26762.20,1742.41,25019.79,2024-01-17T05:04:28
107,2022-03-03,Every perhaps concern particularly throughout day.,42003.55,24043.63,17959.92,2024-09-09T19:06:03
108,2023-08-27,Interest level natural if drive modern student.,48371.88,10042.81,38329.07,2021-11-20T00:57:18
109,2021-05-21,Together generation network more if top check produce.,22371.86,31637.09,-9265.23,2022-06-07T20:07:32
110,2021-11-28,What fund hot author now space must.,15102.04,26641.05,-11539.01,2023-08-12T02:48:45
111,2022-07-07,Ten contain if.,45865.71,25915.27,19950.44,2022-08-28T23:33:14
112,2023-11-22,Ground win American get because.,40937.01,35268.21,5668.80,2022-10-14T16:51:34
113,2024-11-01,Reveal song allow example we let eye.,40474.87,35769.66,4705.21,2022-07-17T17:28:30
114,2025-05-18,Can summer nothing week bag blood.,25766.32,19501.34,6264.98,2021-05-16T21:23:04
115,2025-08-05,Break west action.,46297.64,9989.56,36308.08,2023-05-23T01:35:00
116,2024-11-07,Every produce such something go apply.,36391.41,20847.83,15543.58,2024-02-23T04:27:47
117,2022-10-10,Again personal somebody form.,905.87,20599.40,-19693.53,2024-02-21T14:22:07
118,2023-10-31,Treat model conference television management Mr.,40321.43,24321.01,16000.42,2023-07-07T06:56:51
119,2023-12-20,Seek stand through.,595.95,34110.55,-33514.60,2023-06-30T08:17:36
120,2021-11-02,Huge morning performance drive book.,45453.92,20314.72,25139.20,2021-07-21T05:37:07
121,2023-11-16,Talk power experience defense.,27325.30,10710.83,16614.47,2022-07-07T00:13:17
122,2022-08-21,Production administration whatever close rise we street ask.,9629.51,11304.79,-1675.28,2024-01-17T06:53:56
123,2024-04-11,Tend learn though film themselves trouble few.,41967.67,13596.65,28371.02,2024-06-06T13:35:01
124,2021-08-25,Quite will series gas own guess a.,1666.57,33553.95,-31887.38,2022-01-24T23:31:35
125,2022-04-08,World weight include prepare way.,5615.30,28868.50,-23253.20,2024-03-28T16:50:58
126,2025-10-17,Should form debate town region.,2411.23,15066.20,-12654.97,2023-05-14T14:20:03
127,2023-07-03,Bar course chance toward billion lawyer wonder hundred.,47443.59,8854.25,38589.34,2023-07-11T03:33:58
128,2025-10-09,And hotel admit various mind create.,47859.81,20728.53,27131.28,2025-03-30T10:02:42
129,2022-08-14,Rich issue but item ok free pick.,41180.09,17284.68,23895.41,2024-04-27T04:22:02
130,2021-07-07,Church century kid nation wait.,40100.62,23611.96,16488.66,2022-11-13T10:00:18
131,2022-03-14,Relate draw hour ask then fine use technology.,31738.18,38457.22,-6719.04,2022-01-03T15:32:53
132,2023-10-01,First firm set his condition assume.,38894.67,39986.00,-1091.33,2024-02-24T03:12:43
133,2021-05-01,Others marriage north agreement during kind left.,4860.67,28066.21,-23205.54,2021-03-08T14:54:10
134,2021-03-14,Say physical none.,28419.78,16720.79,11698.99,2021-08-04T18:25:10
135,2024-08-18,Modern back city order research sing away happy.,44485.42,38432.08,6053.34,2024-09-12T18:54:37
136,2020-11-27,Stop interview machine Mr else.,3754.32,36503.60,-32749.28,2022-04-21T11:19:51
137,2022-07-31,Drop nice upon couple event just.,44004.90,36228.71,7776.19,2024-08-09T09:36:13
138,2021-07-29,None school include school author professor center.,48139.58,33178.40,14961.18,2023-08-01T07:54:32
139,2025-05-01,Me mention rise few rock clearly.,38788.99,5767.47,33021.52,2024-04-05T00:13:32
140,2023-07-22,Say stand ten debate would report add.,5737.59,28226.11,-22488.52,2021-07-15T16:07:21
141,2023-11-28,Reveal represent threat thing school.,36204.37,13868.66,22335.71,2025-04-26T21:16:11
142,2024-03-22,Safe treat hotel my.,26184.27,7605.84,18578.43,2023-09-09T15:45:29
143,2021-06-03,Focus happy record well indeed main already yet.,38866.29,2062.98,36803.31,2022-11-02T22:30:00
144,2023-11-15,Reveal within hit garden see.,40912.32,10699.05,30213.27,2023-08-10T08:23:40
145,2024-10-23,Medical main catch job read wait likely.,25462.41,22399.98,3062.43,2025-06-28T11:20:41
146,2025-08-15,Try TV end floor size art fall subject.,41959.78,23391.52,18568.26,2023-01-21T19:44:58
147,2025-04-21,Message clear evidence with better class challenge sound.,34512.12,12841.27,21670.85,2023-11-11T08:09:30
148,2022-09-02,One such energy throughout production what.,3742.58,6886.53,-3143.95,2023-10-26T19:29:07
149,2024-06-15,Marriage southern though TV arm see specific chance.,224.99,23148.99,-22924.00,2023-02-07T06:03:58
150,2024-11-19,Run this economy arrive minute easy.,24.38,8963.68,-8939.30,2025-01-02T01:17:50
151,2021-03-20,Point kind room vote paper.,36199.69,10388.66,25811.03,2025-06-15T07:04:51
152,2021-10-05,Such magazine brother former especially my.,21636.77,16690.12,4946.65,2024-05-02T00:40:39
153,2021-08-13,Teacher these major of perhaps sport even.,34342.42,19817.45,14524.97,2021-09-07T07:40:38
