id,product,sku,warehouse,quantity,reorder_level,status,updated_at
1,Benefit DarkCyan,SKU-100001,WH-C,240,337,Backordered,2025-01-29T07:10:59
2,Blood Khaki,SKU-100002,Main Warehouse,1139,30,Discontinued,2022-11-17T22:48:41
3,Possible DarkKhaki,SKU-100003,WH-B,59,75,Available,2025-03-07T01:26:21
4,Eye MidnightBlue,SKU-100004,WH-A,48,468,Backordered,2023-02-20T02:08:27
5,Eye HotPink,SKU-100005,WH-A,1273,157,Backordered,2022-11-12T13:16:48
6,Record CornflowerBlue,SKU-100006,WH-B,617,49,Backordered,2023-07-18T17:36:07
7,Reveal Wheat,SKU-100007,WH-B,1611,400,Available,2024-07-18T16:17:23
8,Popular FireBrick,SKU-100008,WH-C,589,250,Discontinued,2025-01-12T11:00:27
9,Media Orange,SKU-100009,Main Warehouse,589,385,Low Stock,2025-08-26T06:05:53
10,Soldier DarkOrchid,SKU-100010,WH-A,358,53,Low Stock,2023-12-03T21:08:44
11,Hold Khaki,SKU-100011,WH-A,789,123,Backordered,2024-04-07T06:38:03
12,Plant BurlyWood,SKU-100012,Main Warehouse,1869,296,Available,2024-05-15T12:58:47
13,Trade MediumSeaGreen,SKU-100013,WH-B,951,295,Available,2025-09-26T15:16:35
14,Around LightSalmon,SKU-100014,WH-B,199,123,Discontinued,2023-06-18T21:44:52
15,Family OrangeRed,SKU-100015,WH-C,1907,479,Low Stock,2023-03-07T04:54:19
16,Method Tomato,SKU-100016,Main Warehouse,1221,304,Available,2023-07-10T07:18:43
17,Interview PaleGreen,SKU-100017,WH-C,1667,179,Backordered,2022-12-31T21:38:54
18,Contain Orange,SKU-100018,WH-C,1873,262,Backordered,2025-06-20T08:56:47
19,Their SandyBrown,SKU-100019,WH-C,1429,403,Available,2024-07-08T17:41:13
20,Door Pink,SKU-100020,WH-C,382,304,Available,2024-07-24T11:40:53
21,Maintain DeepSkyBlue,SKU-100021,Main Warehouse,1234,230,Available,2023-09-09T15:55:09
22,Measure LightGray,SKU-100022,WH-C,735,467,Low Stock,2024-10-13T15:15:51
23,So Tomato,SKU-100023,Main Warehouse,30,203,Available,2024-01-03T15:53:20
24,Unit GoldenRod,SKU-100024,WH-A,795,179,Discontinued,2023-06-08T22:50:18
25,Market DarkTurquoise,SKU-100025,Main Warehouse,492,129,Discontinued,2024-07-11T09:00:21
26,Moment Aquamarine,SKU-100026,WH-C,760,237,Available,2023-04-27T18:00:56
27,Himself Teal,SKU-100027,WH-A,817,172,Low Stock,2025-03-28T01:00:51
28,Word AliceBlue,SKU-100028,Main Warehouse,848,57,Low Stock,2023-07-19T02:59:59
29,According DarkOrange,SKU-100029,Main Warehouse,1359,296,Available,2023-09-02T16:49:48
30,Quite PaleVioletRed,SKU-100030,WH-C,1203,470,Available,2024-04-04T21:22:29
31,Fine Yellow,SKU-100031,WH-B,732,122,Available,2025-01-27T13:48:32
32,Cut MistyRose,SKU-100032,WH-C,398,255,Discontinued,2025-05-12T03:10:36
33,Audience MediumSpringGreen,SKU-100033,WH-B,1311,323,Discontinued,2025-04-18T00:27:45
34,Real PaleTurquoise,SKU-100034,WH-C,551,164,Discontinued,2023-11-17T19:21:07
35,Another Violet,SKU-100035,Main Warehouse,1760,475,Low Stock,2025-04-29T12:02:59
36,Generation Purple,SKU-100036,WH-C,1643,458,Available,2025-03-10T19:35:33
37,Major Coral,SKU-100037,WH-C,1383,104,Low Stock,2023-09-28T13:26:17
38,Sure Moccasin,SKU-100038,WH-B,1845,138,Low Stock,2025-09-01T00:28:44
39,Radio BlanchedAlmond,SKU-100039,WH-B,617,272,Available,2024-03-27T23:38:50
40,Generation FloralWhite,SKU-100040,WH-A,560,50,Discontinued,2022-11-26T09:40:27
41,Meet BlanchedAlmond,SKU-100041,WH-B,630,66,Backordered,2023-09-13T10:54:19
42,Writer Beige,SKU-100042,WH-C,505,492,Discontinued,2022-12-08T09:48:34
43,Recently MediumVioletRed,SKU-100043,WH-A,670,283,Backordered,2024-01-11T09:24:40
44,While HotPink,SKU-100044,WH-C,939,154,Available,2025-10-24T04:29:46
45,Another LawnGreen,SKU-100045,Main Warehouse,356,437,Discontinued,2025-10-20T15:33:52
46,Approach MediumPurple,SKU-100046,Main Warehouse,30,93,Backordered,2023-06-10T13:38:34
47,Reach Gold,SKU-100047,WH-B,755,241,Available,2023-07-03T07:47:33
48,If Green,SKU-100048,WH-B,1562,119,Low Stock,2024-05-12T15:40:41
49,Information LightSteelBlue,SKU-100049,WH-B,1270,416,Backordered,2024-02-17T08:40:00
50,Edge GoldenRod,SKU-100050,WH-C,734,102,Low Stock,2024-07-20T12:00:16
51,Might DarkOliveGreen,SKU-100051,WH-A,659,337,Low Stock,2023-02-06T06:15:56
52,Under DarkKhaki,SKU-100052,Main Warehouse,463,33,Backordered,2025-05-30T01:37:19
53,Sort MediumTurquoise,SKU-100053,WH-A,1867,434,Low Stock,2025-10-03T05:59:05
54,Bar LightYellow,SKU-100054,Main Warehouse,803,104,Available,2023-02-27T11:35:01
