id,payment_id,party,due_date,amount,status,created_at
1,PMT-10001,Davis Ltd,2025-03-07,41946.64,Pending,2024-08-24T17:08:23
2,PMT-10002,Ramirez-Johnson,2025-08-22,107072.32,Paid,2024-10-14T06:58:04
3,PMT-10003,"Moreno, Church and Cervantes",2025-02-09,80307.19,Paid,2024-02-26T01:05:56
4,PMT-10004,Berger-Cobb,2023-11-28,143972.93,Overdue,2023-06-22T06:36:39
5,PMT-10005,Rasmussen Inc,2025-03-17,73761.43,Overdue,2025-04-24T06:38:29
6,PMT-10006,Stone LLC,2024-11-06,21311.15,Overdue,2024-06-25T22:26:26
7,PMT-10007,Sanchez PLC,2024-09-02,116114.29,Overdue,2025-02-28T14:51:14
8,PMT-10008,"Hill, Bryan and Lawson",2024-05-08,62202.74,Paid,2024-06-21T00:10:37
9,PMT-10009,"Baker, Butler and Hooper",2024-02-24,36610.82,Paid,2025-06-10T02:15:20
10,PMT-10010,"Hurst, Hayes and Thompson",2024-08-05,26730.61,Pending,2024-12-19T21:27:48
11,PMT-10011,Stewart Inc,2024-11-30,111040.99,Overdue,2024-05-13T12:20:21
12,PMT-10012,Cherry Group,2023-12-29,46013.37,Pending,2024-09-07T12:01:31
13,PMT-10013,White LLC,2025-08-23,102244.99,Overdue,2025-06-05T12:59:28
14,PMT-10014,Sandoval LLC,2024-06-28,41266.71,Overdue,2025-10-27T18:15:21
15,PMT-10015,Weaver LLC,2025-04-24,147367.19,Overdue,2025-06-20T15:48:00
16,PMT-10016,"Clark, Smith and White",2025-01-04,66665.22,Overdue,2025-10-22T22:12:33
17,PMT-10017,"Allen, Hendricks and Villarreal",2025-07-24,34295.54,Overdue,2025-02-05T09:51:50
18,PMT-10018,"Stark, Norris and Lam",2024-07-21,6071.36,Paid,2022-12-24T01:05:15
19,PMT-10019,Yoder Group,2024-02-11,185212.94,Pending,2022-11-07T17:41:57
20,PMT-10020,"Wright, Delgado and Williams",2024-09-27,63244.13,Pending,2023-11-26T12:36:51
21,PMT-10021,"Wright, Johnson and Tanner",2023-11-19,143219.97,Overdue,2025-06-07T10:56:54
22,PMT-10022,Harrison LLC,2024-01-17,17624.23,Overdue,2024-10-08T00:48:45
23,PMT-10023,"Moore, Miller and Johnson",2024-09-07,176506.28,Overdue,2025-06-16T01:11:27
24,PMT-10024,Cole-Leonard,2025-02-21,164259.42,Paid,2023-12-27T23:22:00
25,PMT-10025,"Benson, Long and Lawson",2023-11-05,72155.23,Pending,2022-12-18T00:07:35
26,PMT-10026,Garcia Ltd,2025-07-30,182415.54,Pending,2023-03-14T05:18:10
27,PMT-10027,Tucker Inc,2025-04-29,36183.21,Overdue,2025-01-19T08:51:57
28,PMT-10028,Hogan PLC,2024-08-10,140252.35,Pending,2023-06-22T04:11:30
29,PMT-10029,Bowman LLC,2025-01-01,97741.62,Pending,2024-10-09T23:54:04
30,PMT-10030,Benjamin LLC,2025-05-04,57069.14,Pending,2024-05-31T19:21:14
31,PMT-10031,Conner-Johnson,2024-07-16,113107.44,Pending,2023-03-25T23:38:17
32,PMT-10032,Parker-Collins,2025-09-25,158868.85,Paid,2023-01-08T08:54:14
33,PMT-10033,"Garcia, Moody and Bowen",2025-04-25,6804.10,Pending,2023-12-11T19:29:45
34,PMT-10034,"Chan, Barber and Galvan",2024-03-09,56476.69,Paid,2023-11-07T04:30:39
35,PMT-10035,"Atkins, Anderson and Johnson",2025-07-04,9780.79,Paid,2023-01-14T07:31:05
36,PMT-10036,"Richardson, Montoya and Sanders",2025-04-01,77318.69,Overdue,2024-10-24T17:00:40
37,PMT-10037,Thompson-Washington,2025-06-10,174760.47,Paid,2023-01-10T02:25:06
38,PMT-10038,Smith-Brock,2025-04-12,78047.12,Overdue,2025-03-13T13:42:45
39,PMT-10039,"Cook, Zhang and Sawyer",2024-03-04,86889.36,Overdue,2023-02-07T15:20:52
40,PMT-10040,"Allen, Stone and Bowman",2025-10-08,134325.70,Pending,2024-01-25T09:15:00
41,PMT-10041,"Cohen, Ramirez and Valdez",2024-02-20,161249.36,Paid,2024-03-25T14:09:08
42,PMT-10042,"Glover, Wagner and James",2024-09-21,99377.88,Overdue,2024-12-16T23:32:00
43,PMT-10043,Thompson-Anderson,2025-08-14,45589.43,Overdue,2024-04-19T10:50:11
44,PMT-10044,"Kelly, Downs and King",2024-10-25,70340.21,Overdue,2023-12-04T13:24:00
45,PMT-10045,"Smith, Gibson and Adams",2024-08-01,173071.43,Overdue,2025-03-25T17:15:24
46,PMT-10046,Baker PLC,2024-02-18,160896.37,Paid,2024-04-18T16:52:58
47,PMT-10047,Lawrence Ltd,2025-02-01,116570.26,Paid,2023-02-23T18:05:40
48,PMT-10048,"Young, Sparks and Wagner",2024-09-05,24274.26,Pending,2024-12-02T13:14:34
49,PMT-10049,Ritter-Hardy,2025-10-18,4890.98,Paid,2023-04-19T04:27:36
50,PMT-10050,Cox-Hall,2025-09-21,171944.44,Pending,2025-02-06T18:30:07
51,PMT-10051,Hunter PLC,2023-12-08,161969.04,Pending,2024-01-13T13:09:02
52,PMT-10052,Watkins LLC,2024-08-09,146233.17,Overdue,2024-09-16T21:45:42
53,PMT-10053,Russell Group,2025-08-30,87024.08,Paid,2023-03-01T17:14:09
54,PMT-10054,"Williams, Miller and Erickson",2025-09-27,151138.10,Paid,2024-06-28T17:45:26
55,PMT-10055,Becker Group,2024-01-19,114709.47,Overdue,2023-09-30T17:59:39
56,PMT-10056,"Rose, Skinner and Dillon",2024-02-08,170889.79,Paid,2022-11-29T08:17:40
57,PMT-10057,Hayes-Estrada,2024-03-12,28284.26,Overdue,2023-07-13T20:31:05
58,PMT-10058,"Harrison, Vaughn and Ochoa",2025-02-26,148639.76,Pending,2024-07-07T22:02:14
59,PMT-10059,Lopez LLC,2024-07-03,6235.79,Overdue,2025-08-28T01:04:18
60,PMT-10060,"Neal, Warner and Abbott",2025-02-13,28681.92,Paid,2025-05-06T14:18:00
61,PMT-10061,"Murphy, Mitchell and Schmitt",2023-12-29,72126.58,Paid,2023-09-20T04:17:42
62,PMT-10062,Riley Group,2024-05-20,141338.18,Pending,2023-07-27T08:17:28
63,PMT-10063,Horne-Kim,2023-11-13,40274.34,Overdue,2023-12-18T07:16:38
64,PMT-10064,Perez Ltd,2025-02-24,78860.49,Paid,2025-01-15T22:53:03
65,PMT-10065,"Wong, Salazar and Willis",2024-01-31,43536.97,Pending,2024-01-07T14:20:03
66,PMT-10066,Rowe PLC,2023-11-05,11762.31,Paid,2025-04-08T09:25:02
67,PMT-10067,Green-Miles,2024-02-04,149908.88,Overdue,2024-03-27T17:50:49
68,PMT-10068,Murphy-Holmes,2024-06-25,155401.77,Pending,2023-10-20T14:05:10
69,PMT-10069,"Peters, Campbell and Smith",2024-07-12,49320.13,Overdue,2024-02-27T13:40:00
70,PMT-10070,"Johnson, Stokes and Kemp",2025-09-22,119505.39,Overdue,2024-08-22T06:48:53
71,PMT-10071,Sloan-Hill,2025-05-07,51746.16,Pending,2024-05-11T10:55:36
72,PMT-10072,"Gilbert, Johnson and Horne",2023-12-11,187567.43,Pending,2023-05-31T12:15:34
73,PMT-10073,Fowler-Reed,2024-02-19,111371.02,Pending,2023-07-02T13:50:36
74,PMT-10074,"Rogers, Santos and Barnes",2025-08-23,31075.71,Paid,2023-11-15T16:49:31
75,PMT-10075,Howell-Miller,2024-07-15,85487.40,Pending,2025-10-14T22:47:36
76,PMT-10076,Gonzalez LLC,2024-01-13,118314.24,Pending,2025-01-02T16:35:10
77,PMT-10077,Washington Inc,2025-07-23,113990.36,Overdue,2024-12-10T17:53:36
78,PMT-10078,Carlson-Hunter,2023-12-01,52527.44,Pending,2023-02-03T11:40:11
79,PMT-10079,Taylor and Sons,2025-06-28,120907.30,Overdue,2023-05-16T09:17:24
80,PMT-10080,Reynolds LLC,2025-06-17,179172.28,Overdue,2025-05-12T22:15:07
81,PMT-10081,Weber-Perry,2025-05-15,124643.38,Pending,2024-02-24T02:59:18
82,PMT-10082,"Hernandez, Coleman and Villa",2025-04-18,146614.53,Paid,2024-08-15T09:33:14
83,PMT-10083,Morgan-Maxwell,2023-11-05,34676.68,Overdue,2023-02-19T01:45:16
84,PMT-10084,Velazquez-Stephens,2024-08-14,38625.27,Paid,2024-03-10T22:30:17
85,PMT-10085,Lara-Williams,2025-02-02,98612.44,Pending,2022-11-26T21:14:38
86,PMT-10086,Powell-Bradley,2025-04-06,136217.18,Overdue,2024-06-15T01:31:43
87,PMT-10087,"George, Howard and Mcmahon",2025-03-20,160208.01,Pending,2024-12-24T12:45:37
88,PMT-10088,Clayton LLC,2024-01-25,145874.91,Overdue,2023-08-25T23:41:18
89,PMT-10089,Green Inc,2024-09-18,45731.78,Paid,2025-10-17T00:57:37
90,PMT-10090,"Morris, Daniels and Thomas",2023-12-05,186356.40,Pending,2025-01-10T06:45:07
91,PMT-10091,Davis Inc,2025-09-30,180448.95,Paid,2024-09-06T22:30:49
92,PMT-10092,"Mason, Day and Medina",2024-12-20,42671.19,Paid,2023-10-18T23:06:52
93,PMT-10093,Graham-Christensen,2025-06-19,78839.78,Overdue,2024-10-10T00:50:22
94,PMT-10094,Colon and Sons,2025-09-24,182846.95,Pending,2024-03-09T04:24:24
95,PMT-10095,Davis and Sons,2023-12-30,77504.83,Pending,2025-07-12T23:51:08
96,PMT-10096,Jones Inc,2024-10-15,81742.83,Pending,2024-09-25T14:41:37
97,PMT-10097,Miller and Sons,2025-02-15,142104.21,Overdue,2023-03-12T14:06:29
98,PMT-10098,Jones LLC,2025-10-10,55369.04,Paid,2025-09-25T07:19:03
99,PMT-10099,Conley LLC,2025-10-18,55647.43,Pending,2025-01-31T18:58:21
100,PMT-10100,"King, Duran and Lopez",2025-03-06,67284.56,Pending,2023-09-09T21:07:22
101,PMT-10101,"Pham, Scott and Martin",2024-02-14,19877.84,Paid,2023-10-22T20:55:57
102,PMT-10102,Blackburn-Farmer,2025-02-25,110495.24,Paid,2022-11-18T18:03:34
103,PMT-10103,"Schneider, Brown and Arias",2024-07-18,100938.11,Paid,2024-05-06T13:34:00
104,PMT-10104,Watson-Gonzalez,2024-11-07,192965.49,Pending,2025-07-10T13:39:01
105,PMT-10105,"Gregory, Shaw and Harvey",2024-10-06,1329.82,Paid,2025-05-19T11:22:09
106,PMT-10106,"Perez, Flores and Coleman",2024-12-02,141475.75,Paid,2023-06-29T15:21:01
107,PMT-10107,Hamilton PLC,2023-11-12,106388.76,Overdue,2025-02-10T20:19:35
108,PMT-10108,Stephenson LLC,2024-08-19,32403.81,Pending,2024-03-21T00:05:44
109,PMT-10109,"Jones, Brown and Adkins",2024-10-28,154993.49,Pending,2025-03-01T20:55:13
110,PMT-10110,Rodgers and Sons,2025-06-28,135840.60,Pending,2025-04-23T01:03:14
111,PMT-10111,Lopez-Clark,2025-10-28,117540.75,Paid,2024-11-27T15:04:33
112,PMT-10112,Clayton-Schneider,2024-09-12,158632.45,Overdue,2024-06-25T11:04:34
113,PMT-10113,Rodriguez-Lopez,2024-02-11,195461.00,Paid,2024-05-30T15:08:34
114,PMT-10114,Powell PLC,2025-05-07,88481.83,Pending,2024-01-21T22:55:38
115,PMT-10115,Richardson-Wright,2024-05-19,98083.82,Pending,2024-02-15T22:27:21
116,PMT-10116,"Leonard, Mitchell and Mcclure",2024-01-14,36528.43,Overdue,2023-09-13T02:35:28
117,PMT-10117,"Sanders, Martinez and Mendoza",2024-01-24,42054.95,Overdue,2024-12-20T17:39:48
