id,employee_id,period_start,period_end,gross_pay,net_pay,paid,created_at
1,987,2024-09-01,2024-10-01,9320.93,4461.63,False,2023-07-25T23:18:12
2,1962,2023-01-31,2023-03-02,1439.15,6249.30,True,2024-11-24T17:12:27
3,396,2023-07-01,2023-07-31,9631.26,1043.16,False,2023-05-18T07:40:33
4,1176,2023-07-19,2023-08-18,9437.41,2472.25,True,2022-12-17T06:37:07
5,1314,2023-06-28,2023-07-28,3338.21,4905.44,False,2025-02-25T04:33:47
6,1802,2023-01-11,2023-02-10,1103.94,7969.80,True,2023-09-21T20:03:54
7,1760,2023-03-31,2023-04-30,4915.52,3683.05,True,2025-06-05T06:11:45
8,292,2023-05-24,2023-06-23,1569.32,585.59,True,2024-07-10T15:56:05
9,1610,2023-04-12,2023-05-12,911.70,4938.28,False,2024-05-14T18:26:52
10,631,2023-04-17,2023-05-17,6797.66,7417.12,False,2025-07-05T22:38:06
11,1819,2024-05-26,2024-06-25,8255.89,5148.42,False,2025-08-21T00:21:15
12,116,2022-11-04,2022-12-04,7800.27,3594.42,True,2024-05-15T01:03:03
13,1930,2022-11-26,2022-12-26,3593.08,5065.90,True,2024-05-06T04:05:49
14,1792,2023-09-26,2023-10-26,6671.82,4238.40,True,2025-04-06T06:22:20
15,1258,2024-07-26,2024-08-25,7151.68,3411.24,True,2024-08-03T16:00:26
16,1817,2023-05-28,2023-06-27,5211.45,8566.17,True,2023-06-09T12:32:50
17,350,2024-08-16,2024-09-15,7436.75,4655.74,True,2024-04-13T03:48:55
18,1452,2023-01-19,2023-02-18,8774.43,9093.13,False,2023-12-30T22:30:45
19,1384,2024-03-07,2024-04-06,8504.17,3901.68,True,2023-04-05T09:16:44
20,367,2023-01-18,2023-02-17,4254.61,5092.11,False,2024-12-05T09:09:07
21,650,2023-08-09,2023-09-08,2347.13,1098.07,False,2023-03-09T11:20:02
22,335,2024-09-02,2024-10-02,6849.17,7312.84,True,2023-08-31T12:04:53
23,1104,2023-03-03,2023-04-02,5173.99,8219.13,True,2024-05-11T20:12:44
24,911,2023-07-29,2023-08-28,3589.13,5883.59,True,2024-03-08T17:52:05
25,636,2023-01-17,2023-02-16,8680.60,3128.06,False,2025-02-27T18:39:02
26,1658,2024-05-13,2024-06-12,7938.49,1446.88,False,2022-12-23T21:33:15
27,1352,2023-10-08,2023-11-07,3066.58,9218.56,False,2023-11-15T12:17:21
28,361,2024-05-18,2024-06-17,6513.45,6489.10,False,2023-03-10T06:56:58
29,13,2023-11-25,2023-12-25,9675.62,9025.48,True,2023-02-17T04:41:31
30,1571,2023-07-18,2023-08-17,5185.04,8965.40,True,2024-02-19T11:18:36
31,1729,2024-09-06,2024-10-06,3870.10,8168.88,True,2025-07-07T19:01:40
32,1364,2023-05-15,2023-06-14,6543.58,5204.28,True,2023-02-02T12:59:48
33,1326,2024-10-18,2024-11-17,4724.64,3316.49,True,2025-07-07T19:21:29
34,1835,2024-02-04,2024-03-05,5645.55,3581.13,True,2023-01-17T17:35:27
35,1619,2023-06-28,2023-07-28,789.92,2142.57,False,2024-06-17T03:16:54
36,928,2023-01-30,2023-03-01,1740.51,572.37,False,2023-04-07T14:27:20
37,1186,2023-11-28,2023-12-28,1501.43,2928.19,False,2024-04-26T01:21:07
38,849,2023-07-31,2023-08-30,4581.52,8697.60,False,2025-07-17T10:52:37
39,1651,2023-12-07,2024-01-06,4323.03,4577.99,False,2024-10-05T10:39:56
40,1631,2023-02-26,2023-03-28,590.75,1239.43,False,2025-02-19T02:19:32
41,112,2024-08-05,2024-09-04,7305.61,2534.77,True,2025-01-18T06:49:49
42,1575,2022-11-06,2022-12-06,1271.18,9383.90,False,2024-10-13T22:49:15
43,1340,2023-10-12,2023-11-11,4034.37,4527.78,False,2024-04-11T10:12:22
44,946,2023-05-21,2023-06-20,4016.35,8081.83,False,2023-03-24T07:10:12
45,743,2023-12-15,2024-01-14,7587.47,8429.89,True,2024-11-11T12:43:44
46,1205,2022-11-09,2022-12-09,6607.40,4765.22,False,2022-12-27T10:22:26
47,172,2024-09-17,2024-10-17,7762.89,3471.82,False,2023-02-12T06:32:02
48,1065,2024-05-22,2024-06-21,3582.05,591.21,True,2025-02-17T05:12:08
49,495,2022-12-08,2023-01-07,2814.80,5968.82,False,2024-07-08T02:28:10
50,1826,2023-08-16,2023-09-15,8788.29,7322.89,True,2023-06-25T19:13:09
51,241,2023-09-08,2023-10-08,3450.88,4815.59,True,2024-07-21T08:04:26
52,1770,2022-12-20,2023-01-19,4472.55,1288.87,False,2025-01-01T00:11:58
53,1948,2024-01-19,2024-02-18,8414.40,2404.74,False,2022-12-18T15:02:22
54,451,2023-02-06,2023-03-08,8445.42,7593.73,False,2024-08-28T23:31:58
55,418,2023-09-23,2023-10-23,7872.28,8351.09,True,2024-12-09T06:40:34
56,1113,2024-03-28,2024-04-27,6165.90,9053.55,True,2023-03-14T12:26:46
57,1301,2023-08-01,2023-08-31,8964.15,4202.53,True,2024-04-12T03:39:30
58,128,2023-09-02,2023-10-02,9378.26,7708.08,False,2023-03-09T11:05:07
59,229,2023-05-29,2023-06-28,3840.36,911.12,True,2023-02-20T09:39:17
60,1759,2024-09-06,2024-10-06,8501.17,4329.66,True,2024-06-11T23:29:19
61,814,2023-05-26,2023-06-25,6237.06,2404.31,False,2024-04-16T22:27:37
62,119,2024-08-03,2024-09-02,3650.78,933.30,True,2024-12-12T19:57:55
63,245,2023-05-17,2023-06-16,4871.15,8042.66,False,2023-07-08T16:47:42
64,908,2023-07-10,2023-08-09,6283.42,6540.07,True,2024-11-02T16:33:46
65,1218,2023-01-13,2023-02-12,5964.93,2994.36,False,2024-11-27T06:34:24
66,67,2023-03-03,2023-04-02,5893.29,6059.55,True,2025-09-09T12:33:47
67,1126,2023-08-22,2023-09-21,4881.27,6004.58,True,2023-03-19T20:22:55
68,1768,2024-08-20,2024-09-19,1912.83,5906.28,True,2023-09-20T05:06:15
69,38,2023-05-29,2023-06-28,5374.60,7233.73,False,2024-12-19T22:41:55
70,1459,2024-08-07,2024-09-06,4956.37,8130.56,True,2025-06-23T00:25:16
71,525,2023-09-21,2023-10-21,7888.00,4542.95,False,2023-12-28T08:23:08
72,1088,2023-05-17,2023-06-16,7537.71,5294.81,False,2024-08-24T06:13:05
73,363,2022-12-31,2023-01-30,4746.42,2708.08,True,2023-10-26T18:42:55
74,1923,2024-04-19,2024-05-19,7112.24,511.11,True,2025-03-25T17:18:51
75,1168,2022-11-16,2022-12-16,7273.78,989.70,False,2024-12-08T07:17:51
76,528,2024-05-12,2024-06-11,5137.21,3429.84,False,2024-07-31T20:29:03
77,33,2024-04-24,2024-05-24,1598.78,9447.76,True,2024-01-15T09:18:20
78,788,2023-05-14,2023-06-13,4797.11,1777.63,True,2023-08-23T01:36:57
79,135,2024-06-10,2024-07-10,8435.25,3874.91,True,2022-11-06T13:50:08
80,568,2023-11-05,2023-12-05,668.75,1850.36,True,2023-05-05T23:05:31
81,1941,2023-04-08,2023-05-08,3290.87,7973.61,False,2025-01-12T01:51:31
82,1922,2024-07-17,2024-08-16,6286.70,7951.70,True,2023-03-20T00:04:43
83,1313,2023-07-30,2023-08-29,2779.77,1125.53,False,2024-06-21T10:11:47
84,115,2023-10-30,2023-11-29,5895.04,6497.98,True,2023-07-30T18:10:37
85,1360,2023-04-09,2023-05-09,8197.29,2371.20,True,2024-04-17T06:51:51
86,766,2024-09-26,2024-10-26,9110.03,4115.65,True,2025-08-12T01:43:59
87,961,2023-08-26,2023-09-25,9842.23,1180.71,True,2023-03-29T14:18:52
88,242,2024-05-24,2024-06-23,8878.87,7950.07,True,2025-05-12T07:41:10
89,747,2024-08-31,2024-09-30,1508.98,7016.84,True,2023-08-14T07:53:44
90,781,2023-07-22,2023-08-21,8167.92,7710.29,True,2025-07-17T00:19:20
91,565,2023-02-06,2023-03-08,9075.69,5806.69,False,2023-05-30T13:44:24
92,886,2024-08-01,2024-08-31,7469.77,2960.94,False,2025-06-07T22:13:44
93,123,2024-04-28,2024-05-28,7814.88,6609.42,True,2025-09-15T07:13:07
94,673,2023-10-21,2023-11-20,1433.29,7321.32,False,2023-01-13T23:13:30
95,1860,2024-04-07,2024-05-07,1979.28,5493.49,True,2024-08-01T05:10:37
96,1773,2023-11-20,2023-12-20,7181.57,9290.97,True,2023-06-18T00:18:24
97,889,2024-04-30,2024-05-30,8001.26,5267.64,True,2023-05-12T01:05:58
98,44,2024-09-29,2024-10-29,6424.49,8079.40,False,2024-10-23T08:07:55
99,1961,2024-06-25,2024-07-25,6942.49,6228.48,True,2023-01-12T23:32:21
100,1828,2023-10-31,2023-11-30,9632.90,3052.68,True,2024-06-28T05:57:29
101,879,2024-04-09,2024-05-09,9016.56,4282.43,False,2023-10-31T21:29:09
102,197,2023-11-18,2023-12-18,1476.85,7309.08,True,2023-11-13T08:25:15
103,1711,2022-12-28,2023-01-27,6288.55,1885.05,True,2024-10-29T03:57:35
104,839,2023-09-03,2023-10-03,8941.47,4665.99,True,2024-07-23T23:49:27
105,702,2024-04-04,2024-05-04,7533.60,7170.74,False,2024-08-20T13:07:47
106,1136,2023-07-22,2023-08-21,1958.98,9490.26,True,2024-05-27T16:23:40
107,523,2023-03-17,2023-04-16,6419.22,4764.54,False,2023-01-23T18:30:47
108,1438,2023-11-27,2023-12-27,5099.54,2992.33,True,2025-02-22T11:09:53
109,69,2023-04-11,2023-05-11,2689.49,2195.39,False,2023-08-10T07:45:20
110,133,2023-04-01,2023-05-01,7590.94,5131.32,False,2023-10-25T23:49:43
111,190,2023-08-25,2023-09-24,4749.57,5764.26,False,2023-04-13T23:54:37
112,365,2023-09-30,2023-10-30,7845.17,6644.96,False,2025-08-13T00:22:33
113,1298,2024-06-06,2024-07-06,9334.08,4216.04,True,2024-01-08T06:14:17
114,1250,2023-07-03,2023-08-02,3069.57,9183.92,False,2025-03-10T22:50:47
115,1770,2024-05-15,2024-06-14,5307.52,2328.00,False,2022-12-09T16:34:27
116,155,2023-07-28,2023-08-27,6191.30,744.88,True,2025-04-24T15:50:28
117,280,2024-02-13,2024-03-14,8678.35,7769.27,True,2023-07-27T15:09:01
118,435,2024-09-05,2024-10-05,2992.40,6067.15,True,2024-08-02T21:46:45
119,297,2023-07-06,2023-08-05,4709.13,7242.42,False,2023-08-25T10:27:45
120,113,2024-09-16,2024-10-16,5549.29,5653.02,True,2022-12-18T16:11:49
121,866,2024-04-05,2024-05-05,5308.46,2536.57,False,2024-05-20T08:39:29
122,1519,2023-04-26,2023-05-26,4021.94,2206.41,False,2024-07-10T20:12:50
123,525,2023-02-08,2023-03-10,5612.98,2054.70,True,2023-09-25T11:17:22
124,1071,2023-03-02,2023-04-01,6519.09,1466.42,False,2023-03-08T06:13:49
125,1328,2024-01-28,2024-02-27,8648.10,4743.32,False,2025-04-09T02:59:26
