id,order_id,vendor,date,item,quantity,amount,status,created_at
1,PO-20001,Dominguez-Kennedy,2025-06-02,Kind,26,154089.67,Received,2024-06-23T13:52:14
2,PO-20002,Delgado Group,2025-04-05,Democratic,362,38565.72,Cancelled,2023-11-05T03:00:09
3,PO-20003,Smith Group,2024-07-31,Health,670,112841.34,Pending,2023-10-01T14:31:58
4,PO-20004,Robinson and Sons,2024-01-28,Important,166,145188.97,Pending,2023-04-05T04:07:29
5,PO-20005,Bean Group,2022-11-11,Former,338,133392.19,Cancelled,2025-04-19T20:23:38
6,PO-20006,Pierce-Robertson,2023-04-04,Million,846,199910.49,Pending,2024-05-20T14:08:08
7,PO-20007,Brown-Petty,2025-05-11,Dinner,242,38195.05,Pending,2024-09-10T00:33:14
8,PO-20008,"Bell, Mclaughlin and Torres",2025-08-25,Fall,925,143125.62,Received,2023-02-26T03:48:35
9,PO-20009,"Smith, Armstrong and Salazar",2025-04-05,Out,761,119541.23,Received,2024-10-09T00:02:57
10,PO-20010,Wilson LLC,2024-07-01,Station,202,26720.09,Pending,2023-09-24T22:46:42
11,PO-20011,Palmer Group,2023-05-18,Better,283,83088.51,Pending,2023-05-10T08:06:30
12,PO-20012,"Adams, Harrison and Mitchell",2025-11-01,Rather,360,71225.89,Received,2025-05-04T21:00:47
13,PO-20013,Wolf Inc,2024-06-25,Effort,632,99281.44,Cancelled,2023-10-12T05:22:55
14,PO-20014,Patton-Anderson,2025-07-22,Serve,812,39067.20,Received,2023-04-25T05:47:43
15,PO-20015,Peck-Roach,2023-10-01,Second,832,164767.66,Received,2023-08-10T03:10:26
16,PO-20016,"Robbins, Harris and Lopez",2022-11-23,News,816,31617.05,Pending,2023-02-05T23:50:29
17,PO-20017,Hunt-Flores,2025-04-01,Station,316,46035.79,Cancelled,2023-09-23T10:36:00
18,PO-20018,"Richmond, Anderson and Hayes",2024-12-04,Military,510,171236.67,Cancelled,2023-11-30T01:55:16
19,PO-20019,"Kim, Russell and Stafford",2024-10-14,Send,526,109776.05,Received,2025-06-11T08:12:17
20,PO-20020,Vargas-Allen,2025-03-28,Arm,146,93102.18,Pending,2024-07-06T11:22:55
21,PO-20021,"Carr, George and Murphy",2024-12-18,Treatment,756,75216.15,Cancelled,2023-01-29T10:24:36
22,PO-20022,Bell-Schmidt,2023-10-02,Establish,436,63302.83,Received,2022-11-23T02:50:28
23,PO-20023,"Moran, Edwards and Compton",2024-04-25,Second,952,71080.52,Cancelled,2024-03-08T00:47:46
24,PO-20024,Reilly-Harmon,2023-06-26,Clearly,224,157957.18,Pending,2023-06-27T01:09:14
25,PO-20025,"Carlson, Hayden and Dean",2023-06-11,Nature,534,52201.98,Pending,2025-08-23T22:32:09
26,PO-20026,Gonzalez Group,2023-04-27,Upon,968,53304.94,Received,2022-12-01T08:30:34
27,PO-20027,"Williams, Glass and Hunter",2024-07-11,Bring,958,119576.43,Received,2024-09-15T09:35:01
28,PO-20028,Bailey Inc,2024-03-08,Seek,759,74225.10,Received,2022-11-20T00:35:41
29,PO-20029,Collins-Ramos,2023-11-30,Traditional,953,168662.09,Pending,2023-09-20T09:04:25
30,PO-20030,"Jenkins, English and Rush",2024-10-05,Appear,428,78641.90,Cancelled,2024-08-19T00:47:57
31,PO-20031,Smith Inc,2023-07-12,Ago,606,145544.48,Pending,2023-12-13T16:00:23
32,PO-20032,Williams-Carpenter,2023-12-31,Week,349,43393.61,Cancelled,2022-11-05T16:44:45
33,PO-20033,"Gray, Maldonado and Christian",2023-07-19,Happen,194,79407.49,Pending,2025-07-02T22:45:30
34,PO-20034,"Martin, Fisher and Jones",2024-02-01,Team,6,173676.18,Cancelled,2025-08-21T05:36:44
35,PO-20035,Romero-Skinner,2024-03-29,Season,31,14734.69,Cancelled,2023-03-22T05:01:01
36,PO-20036,"Browning, Thomas and Wallace",2024-02-25,Body,685,167153.04,Received,2024-09-23T10:03:07
37,PO-20037,"Dyer, Gonzalez and Macdonald",2023-11-14,Seek,180,22722.02,Pending,2024-05-22T06:48:58
38,PO-20038,Jimenez Group,2024-02-26,Interest,582,108730.12,Pending,2023-04-06T10:45:14
39,PO-20039,"Shepherd, Hanson and Conway",2025-01-06,Director,747,3466.21,Pending,2024-11-09T10:21:44
40,PO-20040,"Haynes, Murphy and Harding",2024-06-10,Standard,37,138967.42,Received,2025-05-20T19:45:15
41,PO-20041,"Lambert, Greene and Dean",2025-03-12,Site,990,85639.00,Cancelled,2023-09-13T19:22:11
42,PO-20042,"Martinez, Taylor and Smith",2023-02-02,Experience,350,89513.26,Pending,2024-03-12T14:25:01
43,PO-20043,"Castaneda, Byrd and Smith",2023-07-29,Sing,682,40628.69,Received,2025-03-12T06:52:00
44,PO-20044,Davidson-Hill,2024-04-17,Culture,684,24661.98,Cancelled,2025-08-31T05:34:26
