id,name,payload,created_at
1,Forecast 1,"{""forecast_id"": ""FCAST-1"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [28743.28, 23687.26, 6696.82, 5437.52, 36747.97, 10097.29]}], ""meta"": {""created_by"": ""Tiffany Clarke"", ""notes"": ""Deal hour together.""}}",2023-11-07T17:11:39
2,Forecast 2,"{""forecast_id"": ""FCAST-2"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [29966.28, 48322.51, 38569.41, 39648.1, 11658.77, 19351.95]}], ""meta"": {""created_by"": ""Karen Martinez"", ""notes"": ""Dream travel key later sit but most.""}}",2025-01-13T06:56:26
3,Forecast 3,"{""forecast_id"": ""FCAST-3"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [4982.47, 36489.56, 13089.87, 42028.11, 32473.55, 45172.48]}], ""meta"": {""created_by"": ""Kimberly Jones"", ""notes"": ""Story continue just need.""}}",2025-10-06T09:50:54
4,Forecast 4,"{""forecast_id"": ""FCAST-4"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [10363.22, 38035.79, 7504.01, 3613.43, 35589.78, 9722.2]}], ""meta"": {""created_by"": ""Lori Nunez"", ""notes"": ""Allow interest imagine south.""}}",2024-02-10T13:36:28
5,Forecast 5,"{""forecast_id"": ""FCAST-5"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [7880.88, 16461.51, 12072.06, 10224.02, 44294.86, 9678.49]}], ""meta"": {""created_by"": ""Douglas Mason"", ""notes"": ""Study race yard ahead stay store I security.""}}",2024-06-18T17:47:14
6,Forecast 6,"{""forecast_id"": ""FCAST-6"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [15451.68, 35180.35, 13962.71, 25004.4, 29356.11, 18094.1]}], ""meta"": {""created_by"": ""Shannon Schneider"", ""notes"": ""Star cell operation statement area part guess.""}}",2023-11-11T18:03:32
7,Forecast 7,"{""forecast_id"": ""FCAST-7"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [32449.47, 23033.98, 31920.29, 41754.79, 2799.82, 41901.49]}], ""meta"": {""created_by"": ""Mark Clark"", ""notes"": ""Few discussion southern mention all degree.""}}",2025-01-17T06:20:10
8,Forecast 8,"{""forecast_id"": ""FCAST-8"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [19898.35, 27359.49, 11322.48, 35407.19, 17999.16, 40734.51]}], ""meta"": {""created_by"": ""Adam Morris PhD"", ""notes"": ""Set they many both.""}}",2024-05-24T08:11:08
9,Forecast 9,"{""forecast_id"": ""FCAST-9"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [40017.3, 11164.9, 35283.04, 25684.5, 41663.03, 39920.46]}], ""meta"": {""created_by"": ""Alexis Nelson"", ""notes"": ""Sign PM man art production.""}}",2023-12-20T06:35:20
10,Forecast 10,"{""forecast_id"": ""FCAST-10"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [5447.12, 38897.04, 13652.48, 23916.72, 2540.95, 6649.61]}], ""meta"": {""created_by"": ""Kara Melendez"", ""notes"": ""Degree hold half general true.""}}",2024-03-23T09:23:53
11,Forecast 11,"{""forecast_id"": ""FCAST-11"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [33258.28, 10134.85, 7850.95, 29754.22, 19241.85, 19517.6]}], ""meta"": {""created_by"": ""James Lopez"", ""notes"": ""House adult choose specific.""}}",2024-05-29T15:21:00
12,Forecast 12,"{""forecast_id"": ""FCAST-12"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [29831.15, 2658.64, 35363.13, 31844.13, 43597.13, 1387.02]}], ""meta"": {""created_by"": ""Lori Vaughn"", ""notes"": ""Left American sure skill attorney then.""}}",2024-10-02T03:24:14
13,Forecast 13,"{""forecast_id"": ""FCAST-13"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [21648.98, 17400.91, 32746.18, 5910.18, 45744.29, 16007.51]}], ""meta"": {""created_by"": ""Sharon Hayes"", ""notes"": ""Beyond keep meeting simply before.""}}",2025-03-15T21:06:37
14,Forecast 14,"{""forecast_id"": ""FCAST-14"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [23875.22, 10121.88, 2065.75, 40651.85, 23365.84, 29222.29]}], ""meta"": {""created_by"": ""Diana Kim"", ""notes"": ""Behavior probably stay interview accept.""}}",2023-12-11T13:59:42
15,Forecast 15,"{""forecast_id"": ""FCAST-15"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [22313.46, 20567.34, 41870.72, 13376.16, 19287.52, 17556.03]}], ""meta"": {""created_by"": ""Jacob Morrow"", ""notes"": ""Avoid fine door action standard.""}}",2025-09-02T19:47:57
16,Forecast 16,"{""forecast_id"": ""FCAST-16"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [34249.24, 15708.49, 48567.52, 43994.2, 38395.48, 45142.41]}], ""meta"": {""created_by"": ""Olivia Rodriguez"", ""notes"": ""Forward could go cause white property.""}}",2024-12-31T06:45:48
17,Forecast 17,"{""forecast_id"": ""FCAST-17"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [25841.08, 21628.31, 38929.55, 47745.12, 20636.76, 2399.2]}], ""meta"": {""created_by"": ""Jose Freeman"", ""notes"": ""Maybe though southern believe care room.""}}",2025-05-15T02:07:18
18,Forecast 18,"{""forecast_id"": ""FCAST-18"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [26098.01, 46195.33, 44443.17, 48296.54, 47199.47, 10724.65]}], ""meta"": {""created_by"": ""Lee Mcconnell"", ""notes"": ""Make right red degree identify laugh policy.""}}",2024-05-30T07:32:06
19,Forecast 19,"{""forecast_id"": ""FCAST-19"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [48648.96, 37840.65, 7364.65, 17324.21, 48035.75, 48545.93]}], ""meta"": {""created_by"": ""Diane Higgins"", ""notes"": ""According cup sister professor hit I artist late.""}}",2025-04-23T11:10:41
20,Forecast 20,"{""forecast_id"": ""FCAST-20"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [16154.4, 38525.33, 40272.99, 23476.96, 9101.76, 1041.32]}], ""meta"": {""created_by"": ""Derek Hayes"", ""notes"": ""Today seven right cost left member herself.""}}",2024-04-05T00:54:33
21,Forecast 21,"{""forecast_id"": ""FCAST-21"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [8227.06, 44264.78, 15762.83, 4938.39, 12573.0, 10962.78]}], ""meta"": {""created_by"": ""Janice Medina"", ""notes"": ""Bit technology other nor son rate memory.""}}",2024-07-12T08:03:36
22,Forecast 22,"{""forecast_id"": ""FCAST-22"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [5418.18, 12991.89, 34550.97, 42437.75, 19338.63, 24389.86]}], ""meta"": {""created_by"": ""Gary Moore"", ""notes"": ""Late beautiful still.""}}",2025-07-05T03:13:27
23,Forecast 23,"{""forecast_id"": ""FCAST-23"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [17890.88, 24069.23, 34652.54, 35240.21, 45728.82, 33753.41]}], ""meta"": {""created_by"": ""Angel Walls"", ""notes"": ""East company box character expect.""}}",2024-09-28T03:06:35
24,Forecast 24,"{""forecast_id"": ""FCAST-24"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [41736.0, 35604.98, 38389.75, 5695.42, 7296.62, 38389.17]}], ""meta"": {""created_by"": ""Brendan Clark"", ""notes"": ""Movie hand push hospital between.""}}",2025-06-17T14:56:32
25,Forecast 25,"{""forecast_id"": ""FCAST-25"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [7542.79, 38889.76, 45003.04, 41169.76, 36788.23, 21805.03]}], ""meta"": {""created_by"": ""Lauren Henry"", ""notes"": ""State list note later term response employee.""}}",2025-10-20T11:12:21
26,Forecast 26,"{""forecast_id"": ""FCAST-26"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [20298.67, 4511.18, 24927.16, 37281.03, 29735.02, 11863.01]}], ""meta"": {""created_by"": ""Brandon Diaz PhD"", ""notes"": ""During line son page bank imagine firm.""}}",2025-07-12T13:34:57
27,Forecast 27,"{""forecast_id"": ""FCAST-27"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [30817.59, 38624.35, 19087.5, 17652.7, 41338.67, 30917.76]}], ""meta"": {""created_by"": ""Karen Murphy"", ""notes"": ""Those next your house history day.""}}",2024-03-25T00:53:20
28,Forecast 28,"{""forecast_id"": ""FCAST-28"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [37832.54, 45814.71, 32633.29, 7765.92, 10210.56, 11350.38]}], ""meta"": {""created_by"": ""Natalie Andrade"", ""notes"": ""Offer including know happy star.""}}",2024-11-22T21:27:36
29,Forecast 29,"{""forecast_id"": ""FCAST-29"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [22334.63, 17639.75, 33048.2, 21859.85, 14963.24, 19953.96]}], ""meta"": {""created_by"": ""Lawrence Stout"", ""notes"": ""Administration produce fear region same.""}}",2025-01-07T10:34:12
30,Forecast 30,"{""forecast_id"": ""FCAST-30"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [41242.48, 2706.51, 47967.12, 21665.11, 9013.6, 34434.65]}], ""meta"": {""created_by"": ""Ashlee Moore"", ""notes"": ""Together type six modern chance social.""}}",2025-04-05T07:19:33
31,Forecast 31,"{""forecast_id"": ""FCAST-31"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [41877.39, 23781.21, 5049.38, 34617.22, 5968.85, 43260.86]}], ""meta"": {""created_by"": ""Tammy Collins"", ""notes"": ""Rule about population must.""}}",2024-01-25T13:45:04
