id,order_id,customer_id,date,amount,status,created_at
1,SO-20250001,1454,2021-07-06,26618.63,Cancelled,2021-09-05T08:03:46
2,SO-20250002,926,2024-05-05,31066.52,Pending,2025-01-23T07:54:48
3,SO-20250003,386,2021-08-22,44600.57,Shipped,2023-06-08T21:31:14
4,SO-20250004,179,2021-12-10,4054.51,Completed,2022-04-14T05:25:32
5,SO-20250005,591,2024-08-23,47914.91,Pending,2023-12-16T13:54:45
6,SO-20250006,224,2023-05-20,8280.07,Pending,2021-08-28T12:19:00
7,SO-20250007,1428,2021-04-05,7440.30,Completed,2025-10-26T23:39:35
8,SO-20250008,1792,2023-07-15,10252.60,Pending,2024-09-05T15:04:23
9,SO-20250009,601,2023-07-02,20856.01,Completed,2024-04-27T21:57:24
10,SO-20250010,971,2025-02-13,17367.68,Shipped,2023-09-07T19:52:28
11,SO-20250011,1511,2023-05-13,32251.99,Cancelled,2022-01-30T20:47:17
12,SO-20250012,388,2021-01-16,3194.33,Completed,2024-04-26T19:42:58
13,SO-20250013,1710,2024-01-13,47375.06,Cancelled,2024-08-07T02:27:13
14,SO-20250014,844,2021-10-03,28956.30,Cancelled,2022-05-20T14:16:08
15,SO-20250015,996,2023-02-12,29688.19,Shipped,2023-02-21T13:12:51
16,SO-20250016,938,2023-02-09,15238.91,Completed,2022-10-31T10:52:59
17,SO-20250017,1840,2023-06-03,39477.95,Completed,2025-03-01T23:24:56
18,SO-20250018,1617,2023-07-31,13037.37,Shipped,2023-02-01T13:08:14
19,SO-20250019,762,2022-02-01,48537.67,Pending,2021-01-26T09:44:54
20,SO-20250020,304,2025-08-23,17688.39,Shipped,2025-07-07T19:54:57
21,SO-20250021,1959,2024-06-15,8359.84,Completed,2020-12-24T19:07:30
22,SO-20250022,1458,2025-09-12,26789.07,Completed,2024-12-29T22:20:06
23,SO-20250023,1994,2025-02-15,8809.20,Completed,2023-01-10T05:19:42
24,SO-20250024,331,2025-02-27,11933.37,Pending,2022-06-23T17:23:50
25,SO-20250025,649,2025-04-19,28747.53,Shipped,2025-08-21T23:45:21
26,SO-20250026,534,2022-06-30,18515.12,Completed,2025-09-22T05:31:14
27,SO-20250027,1152,2022-05-29,35371.36,Cancelled,2023-06-04T00:14:27
28,SO-20250028,705,2022-03-03,7439.81,Shipped,2025-03-22T10:53:04
29,SO-20250029,1106,2021-05-30,48774.51,Cancelled,2021-07-30T20:44:51
30,SO-20250030,249,2021-12-27,46025.68,Shipped,2022-06-07T22:43:52
31,SO-20250031,1907,2024-05-18,24995.87,Completed,2022-03-08T22:29:58
32,SO-20250032,1942,2025-10-17,22929.13,Cancelled,2022-09-06T19:31:54
33,SO-20250033,320,2025-06-22,264.50,Cancelled,2022-02-17T06:27:50
34,SO-20250034,1326,2025-02-21,35287.30,Shipped,2025-05-09T07:42:19
35,SO-20250035,1835,2024-09-09,14526.87,Completed,2024-08-22T01:51:12
36,SO-20250036,1638,2024-12-26,28283.31,Shipped,2025-06-07T21:33:09
37,SO-20250037,694,2025-01-20,34472.89,Shipped,2022-07-22T17:15:46
38,SO-20250038,1844,2021-11-21,2052.04,Pending,2022-10-03T22:52:03
39,SO-20250039,631,2023-07-08,1288.54,Completed,2020-12-13T23:19:25
40,SO-20250040,914,2022-10-18,17901.81,Cancelled,2023-10-18T12:28:13
41,SO-20250041,113,2024-11-22,30427.15,Completed,2023-01-12T20:01:04
42,SO-20250042,1195,2022-12-10,26345.37,Cancelled,2022-11-30T04:52:41
43,SO-20250043,401,2025-10-02,1176.30,Shipped,2023-10-02T05:27:34
44,SO-20250044,1387,2021-01-23,33594.31,Pending,2022-06-15T18:39:22
45,SO-20250045,1999,2025-10-26,25613.79,Completed,2024-08-04T15:05:39
46,SO-20250046,1005,2025-05-02,15922.00,Pending,2025-03-08T00:59:39
