id,shipment_id,date,carrier,destination,status,created_at
1,SHP-1001,2024-12-07,DHL,"West Elizabethstad, French Southern Territories",Pending,2025-03-14T14:47:26
2,SHP-1002,2024-11-21,Maersk,"Harrellfurt, Tajikistan",Cancelled,2023-02-16T13:19:27
3,SHP-1003,2023-06-19,Local Carrier,"Summerschester, Spain",Pending,2025-03-26T10:16:07
4,SHP-1004,2024-07-28,DHL,"Scottstad, Hong Kong",Cancelled,2025-01-14T04:19:47
5,SHP-1005,2022-01-05,Local Carrier,"Watkinschester, Mauritius",Pending,2025-10-29T22:39:41
6,SHP-1006,2021-03-19,FedEx,"Port Josephbury, South Africa",Pending,2024-12-16T07:58:51
7,SHP-1007,2022-12-18,Local Carrier,"Harrisside, Bolivia",Delivered,2023-06-19T11:34:08
8,SHP-1008,2021-04-28,FedEx,"Lake Tanya, San Marino",In Transit,2025-08-15T16:23:22
9,SHP-1009,2021-05-08,Local Carrier,"North Jasmine, Norfolk Island",Delivered,2024-12-22T16:07:18
10,SHP-1010,2024-09-30,DHL,"Justinchester, El Salvador",Cancelled,2024-03-25T21:58:43
11,SHP-1011,2021-07-05,DHL,"South Dustin, Heard Island and McDonald Islands",Delivered,2024-03-12T11:35:35
12,SHP-1012,2023-06-04,Local Carrier,"Sheppardport, Uganda",In Transit,2021-03-07T03:27:49
13,SHP-1013,2023-03-08,DHL,"Walshtown, Tunisia",In Transit,2023-04-01T14:41:43
14,SHP-1014,2023-09-22,UPS,"Danielhaven, British Indian Ocean Territory (Chagos Archipelago)",Cancelled,2023-12-09T18:12:16
15,SHP-1015,2023-04-06,DHL,"Wilsonborough, Saint Pierre and Miquelon",Delivered,2024-04-22T02:06:20
16,SHP-1016,2024-07-26,Maersk,"Nealside, Burkina Faso",Cancelled,2024-03-10T14:50:15
17,SHP-1017,2025-05-30,FedEx,"Debrastad, Uganda",In Transit,2022-06-25T05:31:57
18,SHP-1018,2022-04-20,Local Carrier,"New Peter, Djibouti",Cancelled,2025-01-19T20:14:40
19,SHP-1019,2021-05-24,Local Carrier,"West John, Slovakia (Slovak Republic)",In Transit,2024-05-20T00:30:00
20,SHP-1020,2022-07-09,DHL,"Maureenfurt, Ethiopia",Pending,2022-06-23T13:49:12
21,SHP-1021,2021-08-24,Maersk,"Vincentfort, Armenia",Pending,2024-12-07T16:37:02
22,SHP-1022,2023-06-16,Local Carrier,"Maryborough, Saint Barthelemy",Cancelled,2023-09-21T23:51:07
23,SHP-1023,2025-05-26,Local Carrier,"North Markburgh, French Southern Territories",Delivered,2021-02-14T13:30:02
24,SHP-1024,2024-06-26,FedEx,"Port Cynthia, Benin",Delivered,2021-05-25T04:41:53
25,SHP-1025,2025-01-02,FedEx,"Lucasmouth, Somalia",Cancelled,2023-03-06T17:45:34
26,SHP-1026,2023-07-08,DHL,"West Jacobside, Mali",In Transit,2025-02-17T05:45:36
27,SHP-1027,2021-09-02,Local Carrier,"Samuelview, Falkland Islands (Malvinas)",In Transit,2022-10-14T18:41:07
28,SHP-1028,2021-06-07,UPS,"New Brandon, Bahamas",In Transit,2023-08-28T20:26:26
29,SHP-1029,2021-10-25,DHL,"West Joseph, Mali",Cancelled,2022-09-12T18:55:23
30,SHP-1030,2025-05-08,DHL,"Donaldview, United States of America",Pending,2024-11-07T17:24:26
31,SHP-1031,2021-12-04,DHL,"Edwardmouth, American Samoa",Cancelled,2021-07-27T02:55:04
32,SHP-1032,2021-06-12,FedEx,"Holderborough, Guatemala",Delivered,2023-03-23T20:14:08
33,SHP-1033,2025-06-12,FedEx,"Hickmanhaven, Japan",Delivered,2021-07-27T19:11:18
34,SHP-1034,2023-01-07,UPS,"New Paulshire, Niger",Delivered,2023-11-30T10:06:07
35,SHP-1035,2021-03-21,DHL,"Jonborough, Reunion",Cancelled,2023-03-25T05:36:31
36,SHP-1036,2023-06-14,UPS,"North Destinyborough, Grenada",Cancelled,2023-12-13T05:22:40
37,SHP-1037,2025-05-28,UPS,"Martinezstad, Christmas Island",Pending,2025-10-30T11:56:50
38,SHP-1038,2022-03-15,Maersk,"Lopezland, Sao Tome and Principe",Delivered,2024-01-12T18:07:00
39,SHP-1039,2023-01-25,Maersk,"Huntmouth, Nicaragua",Delivered,2024-07-08T13:44:10
40,SHP-1040,2022-07-20,FedEx,"South Shawnchester, Bulgaria",Cancelled,2024-11-26T19:56:33
41,SHP-1041,2021-02-19,UPS,"Port Greg, Qatar",In Transit,2021-02-14T13:17:11
42,SHP-1042,2024-01-10,Maersk,"Mooreside, Dominican Republic",Cancelled,2022-09-08T22:10:07
43,SHP-1043,2025-06-01,FedEx,"Port Marcoville, South Africa",Delivered,2022-02-10T02:40:38
44,SHP-1044,2022-11-14,Maersk,"Joshuaberg, Turkmenistan",Pending,2024-07-01T17:50:06
45,SHP-1045,2022-12-09,Maersk,"North Angelahaven, Ukraine",Delivered,2022-04-14T01:35:51
46,SHP-1046,2023-08-28,UPS,"Port Gloriaborough, Algeria",Pending,2024-11-02T00:47:02
47,SHP-1047,2023-07-16,UPS,"Lake Kennethmouth, Cook Islands",Pending,2021-08-04T03:48:12
48,SHP-1048,2021-09-03,UPS,"Lewisview, United Arab Emirates",In Transit,2024-10-13T06:21:56
49,SHP-1049,2021-09-30,FedEx,"Amandaberg, Romania",In Transit,2024-07-05T00:14:35
50,SHP-1050,2024-07-14,Maersk,"Lake Ashleyton, Antarctica (the territory South of 60 deg S)",Cancelled,2022-05-24T14:56:11
51,SHP-1051,2022-11-04,DHL,"Harrisside, Guam",Delivered,2024-10-18T01:45:56
52,SHP-1052,2025-05-22,UPS,"East Gabriellaton, Singapore",Delivered,2021-08-19T11:26:57
53,SHP-1053,2022-05-10,FedEx,"East Kylebury, New Caledonia",Cancelled,2025-06-26T15:49:19
54,SHP-1054,2025-03-05,Local Carrier,"Amandaborough, Kazakhstan",Delivered,2025-04-12T07:01:27
55,SHP-1055,2022-03-07,Maersk,"South Alexa, Yemen",Cancelled,2021-11-18T11:21:12
56,SHP-1056,2024-02-10,FedEx,"New Sarahchester, Burkina Faso",Cancelled,2021-07-21T20:55:02
